  
[Level 1]

@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@# #@@@# #@@@ | @ @###@ @# #@@@ | @@@###@@@###@@@ | @@@# #@@@# #@@@
@@@# #@@@#      |   @###@ @#      |            #@@@ | @@@# #@@@# #@@@
@@@# #@@@###@@@ | @@@###@ @# #@@@ | @@@#       #@@@ | @@@# #@@@# #@@@
###@ @###@@@### | ###@@@# #@ @### | ###@       @### | ###@ @###@ @###
###@       @### | #       #@    # | ###@       @### | ###@       @###
###@@@###@@@### | # #@@@###@@@# # | ###@@@# #@@@### | ###@@@# #@@@###
@@@###@@@###@@@ | @ @###@@@###@ @ | @@@###@ @###@@@ | @@@###@ @###@@@
@@@###@@@###@@@ | @             @ | @@@###@ @###@@@ | @@@###@ @###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@

@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@
###@@@###@@@### | ###@@@###@@@### | ###@@@# #@@@### | ###@@@# #@@@###
###@       @### | ###@       @### | ###@       @### | ###@@@# #@@@###
###@ @###@ @### | ###@@@###@ @### | ###@       @### | ###@@@# #@@@###
@@@# #@@@# #@@@ | @@@###@@@# #@@@ | @@@#       #@@@ | @@@###@ @###@@@
@@@# #@@@#      |      #@@@#      |                 |            #@@@
@@@# #@@@# #@@@ | @@@# #@@@# #@@@ | @@@###@@@###@@@ | @@@#       #@@@
###@ @###@ @### | ###@ @###@ @### | ###@@@###@@@### | ###@       @###
###@ @###@ @### | ###@       @### | ###@@@###@@@### | ###@       @###
###@@@###@@@### | ###@@@###@@@### | ###@@@###@@@### | ###@@@###@@@###
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@


  
[Level 2]

@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
@ @#    @#    @ | @             @ | @@@###@       @ | @          #@@@
@ @###@ @###@ @ | @ @###@@@###@ @ | @@@###@       @ | @       @# #@@@
# #@@@# #@@@# # | # #@@@###@@@# # | ###@@@#       # | #       #@ @###
#       #@ @# # | # #@       @#   |               # | #       #@ @###
# #@@@###@ @### | # #@ @###@ @# # | ###@@@#       # | ###@@@# #@ @###
@ @###@@@# #@@@ | @ @# #@@@# #@ @ | @@@###@       @ | @@@###@ @# #@@@
@             @ | @             @ | @@@###@       @ | @@@#    @# #@@@
@ @###@ @# #@ @ | @ @# #@@@# #@ @ | @@@###@       @ | @@@# #@@@# #@@@
# #@@@# #@ @# # | # #@ @###@ @# # | ###@@@#       # | ###@ @###@ @###
# #@    #@ @# # | # #@       @# # | #             # | ###@    #@ @###
# #@@@# #@@@### | # #@@@###@@@# # | #       #@@@### | ###@    #@ @###
@ @###@ @###@@@ | @ @###@@@###@ @ | @       @###@@@ | @@@#    @# #@@@
@    #@       @ | @             @ | @       @###@@@ | @@@#    @# #@@@
@ @###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@# #@@@# #@@@

@ @###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@# #@@@# #@@@
@             @ | @@@###@@@###@@@ | @@@###@ @###@@@ | @    #@ @# #@@@
@@@###@@@###@ @ | @@@###@@@###@@@ | @@@###@ @###@@@ | @    #@ @# #@@@
###@@@###@@@# # | ###@@@###@@@### | ###@@@# #@@@### | #    @# #@ @###
# #@            |                 |   #@@@# #@@@### | #    @#    @###
###@@@###@@@# # | ###@@@# #@@@### | # #@@@# #@@@### | ###@@@# #@@@###
@@@###@@@###@ @ | @@@###@ @###@@@ | @ @###@ @###@@@ | @@@###@ @###@@@
@ @# #@ @# #@ @ | @@@###@ @###@@@ | @ @###@ @###@@@ | @@@###@ @###@@@
@@@###@@@###@ @ | @@@###@ @###@@@ | @ @###@ @###@@@ | @@@###@ @###@@@
###@@@###@@@# # | ###@@@# #@@@### | # #@@@# #@@@### | ###@@@# #@@@###
# #@ @# #@ @# # | ###@    #@@@### | #               |            @###
###@@@###@@@# # | ###@ @###@@@### | ###@@@###@@@### | ###@@@###@ @###
@@@###@@@###@ @ | @@@# #@@@###@@@ | @@@###@@@###@@@ | @@@###@@@# #@@@
@ @# #@ @# #@ @ | @@@# #@@@###@@@ | @@@###@@@###@@@ | @@@###@@@# #@@@
@@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@###@@@ | @@@###@@@# #@@@

@@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@###@@@ | @@@###@@@# #@@@
@@@###@@@###@@@ | @@@#    @###@@@ | @@@###@    #@@@ | @          #@@@
@@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@    #@@@ | @          #@@@
###@@@###@@@### | ###@@@# #@@@### | ###@@@#    @### | #          @###
###@@@###@@@### | ###@@@# #@@@### | ###@@@#    @### | #          @###
###@@@###@@@### | ###@@@# #@@@### | ###@@@#    @### | ###@@@###@ @###
@@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@    #@@@ | @@@###@@@# #@@@
@@@#    @###@@@ | @@@###@         |               @ | @@@###@@@# #@@@
@@@#    @###@@@ | @@@###@ @###@@@ | @@@###@@@###@@@ | @@@###@@@# #@@@
###@    #@@@### | ###@@@# #@@@### | ###@@@###@@@### | ###@@@###@ @###
###@            |         #@@@### | ###@@@###@@@### | #          @###
###@@@###@@@### | ###@@@# #@@@### | ###@@@###@@@### | #       #@ @###
@@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@@@###@@@ | @       @# #@@@
@@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@ | @       @# #@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@

@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@
@@@###@       @ | @x   #@@@###@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@
@@@###@       @ | @    #@@@###@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@
###@@@#       # | #    @###@@@### | ###@@@# #@@@### | ###@@@###@ @###
###@@@#       # | #               |         #@@@### | ###@@@###@ @###
###@@@#       # | ###@@@###@@@### | ###@@@# #@@@### | ###@@@###@ @###
@@@###@       @ | @@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@
@@@###@       @ | @@@#       #@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@
@@@###@       @ | @@@#       #@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@
###@@@#       # | ###@       @### | ###@@@# #@@@### | ###@@@###@ @###
###@            |                 |         #@@@### | ###@@@###@ @###
###@@@###@@@### | ###@@@# #@@@### | ###@@@# #@@@### | ###@@@###@ @###
@@@###@@@###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@@@# #@@@
@@@###@@@###@@@ | @@@###@       @ | @@@###@         |            #@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@


